"state","ChainID","LOCATION","Mild","Moderate","Frequent","AudienceTotal"
"","1353143788373018334","Verizon Wireless","0","0","1","9"
"","1353143788373018334","Verizon Wireless","0","1","0","78"
"","1353143788373018334","Verizon Wireless","1","0","0","688"
"","1353143788373018346","McDonald's","0","0","1","1"
"","1353143788373018346","McDonald's","0","1","0","9"
"","1353143788373018346","McDonald's","1","0","0","46"
"","1353143788381406972","Mobil Oil Corporation","0","0","1","44"
"","1353143788381406972","Mobil Oil Corporation","0","1","0","140"
"","1353143788381406972","Mobil Oil Corporation","1","0","0","600"
"","1353143788381406992","Target","0","0","1","84"
"","1353143788381406992","Target","0","1","0","285"
"","1353143788381406992","Target","1","0","0","812"
"","1353143788389795620","Burger King","1","0","0","3"
"","1353143788398184258","Western Union","0","0","1","13"
"","1353143788398184258","Western Union","0","1","0","35"
"","1353143788398184258","Western Union","1","0","0","185"
"","1353143788406572882","Office Depot","0","0","1","2"
"","1353143788406572882","Office Depot","1","0","0","3"
"","1353143788406572884","BIGGBY COFFEE","0","1","0","1"
"","1353143788406572884","BIGGBY COFFEE","1","0","0","6"
"","1353143788406572891","Boost Mobile","0","1","0","2"
"","1353143788406572891","Boost Mobile","1","0","0","10"
"","1353143788423350153","Texas Roadhouse","0","1","0","1"
"","1353143788423350153","Texas Roadhouse","1","0","0","12"
"","1353143788431738787","rue21","0","1","0","2"
"","1353143788431738787","rue21","1","0","0","11"
"","1353143788440127426","Batteries Plus","0","1","0","4"
"","1353143788440127426","Batteries Plus","1","0","0","17"
"","1353143788448516051","Anytime Fitness","1","0","0","1"
"","1353143788448516053","Cinnabon","0","1","0","1"
"","1353143788448516053","Cinnabon","1","0","0","8"
"","1353143788456904674","redbox","0","0","1","147"
"","1353143788456904674","redbox","0","1","0","471"
"","1353143788456904674","redbox","1","0","0","1687"
"","1353143788482069552","BP Oil","0","1","0","5"
"","1353143788482069552","BP Oil","1","0","0","51"
"","1353143788482069574","Victoria's Secret","0","1","0","2"
"","1353143788482069574","Victoria's Secret","1","0","0","16"
