"state","Level_1","Level_2","Mild","Moderate","Frequent","AudienceTotal"
"","automotive","auto_repair","0","1","0","1"
"","automotive","auto_repair","1","0","0","31"
"","automotive","gas_station","0","0","1","180"
"","automotive","gas_station","0","1","0","520"
"","automotive","gas_station","1","0","0","1947"
"","food_drink","cafe","0","0","1","3"
"","food_drink","cafe","0","1","0","14"
"","food_drink","cafe","1","0","0","122"
"","food_drink","casual_dining","0","0","1","1"
"","food_drink","casual_dining","0","1","0","5"
"","food_drink","casual_dining","1","0","0","35"
"","food_drink","quick_service","0","0","1","22"
"","food_drink","quick_service","0","1","0","87"
"","food_drink","quick_service","1","0","0","415"
"","grooming","hair salon","0","0","1","1"
"","grooming","hair salon","0","1","0","9"
"","grooming","hair salon","1","0","0","60"
"","health","eye_care","0","1","0","2"
"","health","eye_care","1","0","0","8"
"","health","pharmacy","0","0","1","7"
"","health","pharmacy","0","1","0","24"
"","health","pharmacy","1","0","0","194"
"","health_fitness","gym","0","1","0","1"
"","health_fitness","gym","1","0","0","17"
"","personal_finance","banking","0","0","1","16"
"","personal_finance","banking","0","1","0","39"
"","personal_finance","banking","1","0","0","215"
"","shopping","cell_phone_store","0","0","1","11"
"","shopping","cell_phone_store","0","1","0","97"
"","shopping","cell_phone_store","1","0","0","789"
"","shopping","clothing_store","0","0","1","32"
"","shopping","clothing_store","0","1","0","227"
"","shopping","clothing_store","1","0","0","1740"
"","shopping","convenience_store","0","0","1","23"
"","shopping","convenience_store","0","1","0","36"
"","shopping","convenience_store","1","0","0","141"
"","shopping","department_store","0","0","1","201"
"","shopping","department_store","0","1","0","759"
"","shopping","department_store","1","0","0","2556"
"","shopping","electronics_store","0","0","1","147"
"","shopping","electronics_store","0","1","0","479"
"","shopping","electronics_store","1","0","0","1775"
"","shopping","furniture_store","0","0","1","2"
"","shopping","furniture_store","1","0","0","3"
"","shopping","grocery_or_supermarket","0","0","1","3"
"","shopping","grocery_or_supermarket","0","1","0","18"
"","shopping","grocery_or_supermarket","1","0","0","92"
"","shopping","hardware_store","0","0","1","1"
"","shopping","hardware_store","0","1","0","1"
"","shopping","hardware_store","1","0","0","7"
"","shopping","jewelry_store","0","0","1","1"
"","shopping","jewelry_store","0","1","0","5"
"","shopping","jewelry_store","1","0","0","35"
"","shopping","shoe_store","1","0","0","16"
"","shopping","shopping_mall","0","0","1","3"
"","shopping","shopping_mall","0","1","0","25"
"","shopping","shopping_mall","1","0","0","212"
"","shopping","sporting_goods","1","0","0","1"
"","travel","airport","0","1","0","1"
"","travel","airport","1","0","0","19"
"AK","automotive","auto_intender","0","0","1","1"
"AK","automotive","auto_intender","0","1","0","6"
"AK","automotive","auto_intender","1","0","0","99"
"AK","automotive","auto_repair","0","0","1","68"
"AK","automotive","auto_repair","0","1","0","216"
"AK","automotive","auto_repair","1","0","0","1596"
"AK","automotive","gas_station","0","0","1","127"
"AK","automotive","gas_station","0","1","0","516"
"AK","automotive","gas_station","1","0","0","3417"
"AK","food_drink","cafe","0","0","1","1044"
"AK","food_drink","cafe","0","1","0","2310"
"AK","food_drink","cafe","1","0","0","6270"
"AK","food_drink","casual_dining","0","0","1","77"
"AK","food_drink","casual_dining","0","1","0","332"
"AK","food_drink","casual_dining","1","0","0","2711"
"AK","food_drink","quick_service","0","0","1","1181"
"AK","food_drink","quick_service","0","1","0","3617"
"AK","food_drink","quick_service","1","0","0","14750"
"AK","grooming","hair salon","0","0","1","191"
"AK","grooming","hair salon","0","1","0","605"
"AK","grooming","hair salon","1","0","0","2959"
"AK","gvt_building","post_office","0","0","1","273"
"AK","gvt_building","post_office","0","1","0","840"
"AK","gvt_building","post_office","1","0","0","7408"
"AK","health","eye_care","0","0","1","333"
"AK","health","eye_care","0","1","0","859"
"AK","health","eye_care","1","0","0","2874"
"AK","health","pharmacy","0","0","1","1335"
"AK","health","pharmacy","0","1","0","3036"
"AK","health","pharmacy","1","0","0","8402"
"AK","health_fitness","gym","0","0","1","104"
"AK","health_fitness","gym","0","1","0","298"
"AK","health_fitness","gym","1","0","0","1707"
"AK","personal_finance","banking","0","0","1","319"
"AK","personal_finance","banking","0","1","0","981"
"AK","personal_finance","banking","1","0","0","4264"
"AK","shopping","cell_phone_store","0","0","1","186"
"AK","shopping","cell_phone_store","0","1","0","565"
"AK","shopping","cell_phone_store","1","0","0","2775"
"AK","shopping","clothing_store","0","0","1","164"
"AK","shopping","clothing_store","0","1","0","577"
"AK","shopping","clothing_store","1","0","0","2619"
"AK","shopping","convenience_store","0","0","1","374"
"AK","shopping","convenience_store","0","1","0","721"
"AK","shopping","convenience_store","1","0","0","2849"
"AK","shopping","department_store","0","0","1","672"
"AK","shopping","department_store","0","1","0","1676"
"AK","shopping","department_store","1","0","0","4676"
"AK","shopping","electronics_store","0","0","1","202"
"AK","shopping","electronics_store","0","1","0","752"
"AK","shopping","electronics_store","1","0","0","3949"
"AK","shopping","furniture_store","0","0","1","55"
"AK","shopping","furniture_store","0","1","0","150"
"AK","shopping","furniture_store","1","0","0","944"
"AK","shopping","grocery_or_supermarket","0","0","1","1131"
"AK","shopping","grocery_or_supermarket","0","1","0","2466"
"AK","shopping","grocery_or_supermarket","1","0","0","7245"
"AK","shopping","hardware_store","0","0","1","385"
"AK","shopping","hardware_store","0","1","0","1072"
"AK","shopping","hardware_store","1","0","0","4004"
"AK","shopping","home_goods_store","0","0","1","42"
"AK","shopping","home_goods_store","0","1","0","139"
"AK","shopping","home_goods_store","1","0","0","641"
"AK","shopping","jewelry_store","0","0","1","658"
"AK","shopping","jewelry_store","0","1","0","1567"
"AK","shopping","jewelry_store","1","0","0","4757"
"AK","shopping","shoe_store","0","0","1","157"
"AK","shopping","shoe_store","0","1","0","549"
"AK","shopping","shoe_store","1","0","0","2260"
"AK","shopping","shopping_mall","0","0","1","1174"
"AK","shopping","shopping_mall","0","1","0","2853"
"AK","shopping","shopping_mall","1","0","0","8899"
"AK","shopping","sporting_goods","0","0","1","11"
"AK","shopping","sporting_goods","0","1","0","58"
"AK","shopping","sporting_goods","1","0","0","555"
"AK","travel","airport","0","0","1","315"
"AK","travel","airport","0","1","0","958"
"AK","travel","airport","1","0","0","7055"
"AK","travel","lodging","0","0","1","396"
"AK","travel","lodging","0","1","0","1024"
"AK","travel","lodging","1","0","0","4051"
"AL","automotive","auto_intender","0","0","1","234"
"AL","automotive","auto_intender","0","1","0","860"
"AL","automotive","auto_intender","1","0","0","5377"
"AL","automotive","auto_repair","0","0","1","694"
"AL","automotive","auto_repair","0","1","0","2928"
"AL","automotive","auto_repair","1","0","0","19279"
"AL","automotive","gas_station","0","0","1","6344"
"AL","automotive","gas_station","0","1","0","22810"
"AL","automotive","gas_station","1","0","0","106151"
"AL","education","university","0","0","1","4139"
"AL","education","university","0","1","0","4441"
"AL","education","university","1","0","0","9689"
"AL","food_drink","cafe","0","0","1","747"
"AL","food_drink","cafe","0","1","0","2824"
"AL","food_drink","cafe","1","0","0","13562"
"AL","food_drink","casual_dining","0","0","1","4207"
"AL","food_drink","casual_dining","0","1","0","15853"
"AL","food_drink","casual_dining","1","0","0","88223"
"AL","food_drink","quick_service","0","0","1","20223"
"AL","food_drink","quick_service","0","1","0","62515"
"AL","food_drink","quick_service","1","0","0","223519"
"AL","grooming","hair salon","0","0","1","3049"
"AL","grooming","hair salon","0","1","0","8861"
"AL","grooming","hair salon","1","0","0","34244"
"AL","gvt_building","post_office","0","0","1","2608"
"AL","gvt_building","post_office","0","1","0","7791"
"AL","gvt_building","post_office","1","0","0","41399"
"AL","health","eye_care","0","0","1","652"
"AL","health","eye_care","0","1","0","2997"
"AL","health","eye_care","1","0","0","13890"
"AL","health","pharmacy","0","0","1","23341"
"AL","health","pharmacy","0","1","0","55385"
"AL","health","pharmacy","1","0","0","163535"
"AL","health_fitness","gym","0","0","1","1152"
"AL","health_fitness","gym","0","1","0","3677"
"AL","health_fitness","gym","1","0","0","22709"
"AL","personal_finance","banking","0","0","1","5814"
"AL","personal_finance","banking","0","1","0","17196"
"AL","personal_finance","banking","1","0","0","77529"
"AL","shopping","cell_phone_store","0","0","1","1915"
"AL","shopping","cell_phone_store","0","1","0","8181"
"AL","shopping","cell_phone_store","1","0","0","47318"
"AL","shopping","clothing_store","0","0","1","1855"
"AL","shopping","clothing_store","0","1","0","8427"
"AL","shopping","clothing_store","1","0","0","43781"
"AL","shopping","convenience_store","0","0","1","5974"
"AL","shopping","convenience_store","0","1","0","20689"
"AL","shopping","convenience_store","1","0","0","85413"
"AL","shopping","department_store","0","0","1","16265"
"AL","shopping","department_store","0","1","0","37042"
"AL","shopping","department_store","1","0","0","103459"
"AL","shopping","electronics_store","0","0","1","1054"
"AL","shopping","electronics_store","0","1","0","4913"
"AL","shopping","electronics_store","1","0","0","27185"
"AL","shopping","furniture_store","0","0","1","691"
"AL","shopping","furniture_store","0","1","0","2924"
"AL","shopping","furniture_store","1","0","0","18794"
"AL","shopping","grocery_or_supermarket","0","0","1","5093"
"AL","shopping","grocery_or_supermarket","0","1","0","15696"
"AL","shopping","grocery_or_supermarket","1","0","0","59466"
"AL","shopping","hardware_store","0","0","1","7389"
"AL","shopping","hardware_store","0","1","0","22087"
"AL","shopping","hardware_store","1","0","0","72451"
"AL","shopping","home_goods_store","0","0","1","1959"
"AL","shopping","home_goods_store","0","1","0","7650"
"AL","shopping","home_goods_store","1","0","0","34100"
"AL","shopping","jewelry_store","0","0","1","1071"
"AL","shopping","jewelry_store","0","1","0","4753"
"AL","shopping","jewelry_store","1","0","0","21453"
"AL","shopping","shoe_store","0","0","1","1214"
"AL","shopping","shoe_store","0","1","0","5140"
"AL","shopping","shoe_store","1","0","0","25045"
"AL","shopping","shopping_mall","0","0","1","3031"
"AL","shopping","shopping_mall","0","1","0","10690"
"AL","shopping","shopping_mall","1","0","0","47517"
"AL","shopping","sporting_goods","0","0","1","1503"
"AL","shopping","sporting_goods","0","1","0","6097"
"AL","shopping","sporting_goods","1","0","0","28462"
"AL","sports","golf_course","0","0","1","723"
"AL","sports","golf_course","0","1","0","1995"
"AL","sports","golf_course","1","0","0","6635"
"AL","travel","airport","0","0","1","4398"
"AL","travel","airport","0","1","0","13477"
"AL","travel","airport","1","0","0","60847"
"AL","travel","lodging","0","0","1","6039"
"AL","travel","lodging","0","1","0","21586"
"AL","travel","lodging","1","0","0","91065"
"AR","automotive","auto_intender","0","0","1","103"
"AR","automotive","auto_intender","0","1","0","328"
"AR","automotive","auto_intender","1","0","0","1751"
"AR","automotive","auto_repair","0","0","1","203"
"AR","automotive","auto_repair","0","1","0","723"
"AR","automotive","auto_repair","1","0","0","6871"
"AR","automotive","gas_station","0","0","1","3168"
"AR","automotive","gas_station","0","1","0","11467"
"AR","automotive","gas_station","1","0","0","56911"
"AR","education","university","0","0","1","18"
"AR","education","university","0","1","0","17"
"AR","education","university","1","0","0","189"
"AR","food_drink","cafe","0","0","1","378"
"AR","food_drink","cafe","0","1","0","1424"
"AR","food_drink","cafe","1","0","0","7396"
"AR","food_drink","casual_dining","0","0","1","1412"
"AR","food_drink","casual_dining","0","1","0","6674"
"AR","food_drink","casual_dining","1","0","0","45269"
"AR","food_drink","quick_service","0","0","1","11643"
"AR","food_drink","quick_service","0","1","0","34976"
"AR","food_drink","quick_service","1","0","0","131356"
"AR","grooming","hair salon","0","0","1","1153"
"AR","grooming","hair salon","0","1","0","3122"
"AR","grooming","hair salon","1","0","0","14483"
"AR","gvt_building","post_office","0","0","1","1674"
"AR","gvt_building","post_office","0","1","0","5435"
"AR","gvt_building","post_office","1","0","0","29868"
"AR","health","eye_care","0","0","1","78"
"AR","health","eye_care","0","1","0","427"
"AR","health","eye_care","1","0","0","2712"
"AR","health","pharmacy","0","0","1","10261"
"AR","health","pharmacy","0","1","0","22901"
"AR","health","pharmacy","1","0","0","66082"
"AR","health_fitness","gym","0","0","1","682"
"AR","health_fitness","gym","0","1","0","2013"
"AR","health_fitness","gym","1","0","0","11267"
